motivacion,infracciones,porcentaje
"PARA LAS PREFERENCIAS DE PASO EN LAS INTERSECCIONES, EL CONDUCTOR SE AJUSTARÁ AL SEÑALAMIENTO RESTRICTIVO Y A LAS SIGUIENTES REGLAS: LOS VEHÍCULOS DE EMERGENCIA TIENEN PREFERENCIA DE PASO SOBRE LOS DEMÁS VEHÍCULOS CUANDO CIRCULEN CON LAS SEÑALES LUMINOSAS O AUDIBLES EN FUNCIONAMIENTO;",33,0
"EN TODO MOMENTO LOS CONDUCTORES O PASAJEROS DE VEHÍCULOS DEBEN CONTRIBUIR A GENERAR UN AMBIENTE DE SANA CONVIVENCIA ENTRE TODOS LOS USUARIOS DE LA VÍA; POR LO QUE DEBEN OBEDECER LA SEÑALIZACIÓN VIAL, LAS INDICACIONES DE LOS AGENTES, DEL PERSONAL DE APOYO VIAL O PROMOTORES VOLUNTARIOS; Y DEBEN ABSTENERSE DE: UTILIZAR LA BOCINA (CLAXON) PARA UN FIN DIFERENTE AL DE EVITAR UN HECHO DE TRÁNSITO, ESPECIALMENTE EN CONDICIONES DE CONGESTIÓN VEHICULAR, ASÍ COMO PROVOCAR RUIDO EXCESIVO CON EL MOTOR",32,0
"VEHICULO TRANSPORTE PUBLICO - LOS VEHÍCULOS MOTORIZADOS DEBERÁN CONTAR CON PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL VIGENTE, QUE AMPARE AL MENOS LA RESPONSABILIDAD CIVIL POR DAÑOS A TERCEROS EN SU PERSONA Y EN SU PATRIMONIO. EN EL CASO DE LAS UNIDADES QUE PRESTAN EL SERVICIO DE TRANSPORTE PÚBLICO DE PASAJEROS O DE CARGA, DEBERÁ CONTAR CON PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL VIGENTE, QUE AMPARE LA RESPONSABILIDAD CIVIL POR DAÑOS Y PERJUICIO QUE CON MOTIVO DE LA PRESTACIÓN DEL SERVICIO PUDIESE OCASIONAR A LOS USUARIOS O TERCEROS EN SU PERSONA O PATRIMONIO, DEPENDIENDO DE LA MODALIDAD DE TRANSPORTE A LA QUE CORRESPONDA Y DE ACUERDO A LO QUE ESTABLEZCA EL REGLAMENTO DE LA LEY. SIN PERJUICIO DE LAS SANCIONES ESTABLECIDAS EN ESTE REGLAMENTO, SERÁN SANCIONADOS DE ACUERDO A LO ESTIPULADO EN LA LEY Y SU REGLAMENTO",31,0
"ADEMÁS DE LO DISPUESTO EN EL CAPÍTULO II DE ESTE TÍTULO, LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO DE PASAJEROS DEBEN: OTORGAR EL TIEMPO SUFICIENTE A LOS PASAJEROS PARA ABORDAR O DESCENDER DEL VEHÍCULO; EN CASO DE PERSONAS CON DISCAPACIDAD O CON MOVILIDAD LIMITADA, DEBEN DAR EL TIEMPO NECESARIO PARA QUE ÉSTAS SE INSTALEN EN EL INTERIOR DEL VEHÍCULO O EN LA ACERA;",30,0
LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS DEBEN: ALINEARSE A LA DERECHA Y REDUCIR LA VELOCIDAD CUANDO OTRO VEHÍCULO INTENTE ADELANTARLO,30,0
"ADEMÁS DE LO DISPUESTO EN EL CAPÍTULO II DE ESTE TÍTULO, LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE PÚBLICO DE PASAJEROS DEBEN CIRCULAR POR EL CARRIL DE LA EXTREMA DERECHA.",29,0
"LOS CONDUCTORES DE MOTOCICLETAS DEBEN SUJETARSE A LO DISPUESTO EN EL CAPÍTULO II DE ESTE TÍTULO, EXCEPTUANDO AQUELLAS PROVISIONES QUE POR LA NATURALEZA PROPIA DE LOS VEHÍCULOS NO SEAN APLICABLES. ADICIONALMENTE LOS CONDUCTORES DE MOTOCICLETAS DEBEN: UTILIZAR UN CARRIL COMPLETO DE CIRCULACIÓN;",29,0
SE PROHÍBE INSTALAR O UTILIZAR EN VEHÍCULOS MOTORIZADOS: MODIFICACIONES AL SISTEMA DE ESCAPE DE GASES DEL VEHÍCULO CON OBJETO DE PROVOCAR RUIDO EXCESIVO;,27,0
"VEHICULO TRANSPORTE CARGA - LOS VEHÍCULOS MOTORIZADOS DEBERÁN CONTAR CON PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL VIGENTE, QUE AMPARE AL MENOS LA RESPONSABILIDAD CIVIL POR DAÑOS A TERCEROS EN SU PERSONA Y EN SU PATRIMONIO. EN EL CASO DE LAS UNIDADES QUE PRESTAN EL SERVICIO DE TRANSPORTE PÚBLICO DE PASAJEROS O DE CARGA, DEBERÁ CONTAR CON PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL VIGENTE, QUE AMPARE LA RESPONSABILIDAD CIVIL POR DAÑOS Y PERJUICIO QUE CON MOTIVO DE LA PRESTACIÓN DEL SERVICIO PUDIESE OCASIONAR A LOS USUARIOS O TERCEROS EN SU PERSONA O PATRIMONIO, DEPENDIENDO DE LA MODALIDAD DE TRANSPORTE A LA QUE CORRESPONDA Y DE ACUERDO A LO QUE ESTABLEZCA EL REGLAMENTO DE LA LEY. SIN PERJUICIO DE LAS SANCIONES ESTABLECIDAS EN ESTE REGLAMENTO, SERÁN SANCIONADOS DE ACUERDO A LO ESTIPULADO EN LA LEY Y SU REGLAMENTO",27,0
"PARA LAS PREFERENCIAS DE PASO EN LAS INTERSECCIONES, EL CONDUCTOR SE AJUSTARÁ AL SEÑALAMIENTO RESTRICTIVO Y A LAS SIGUIENTES REGLAS: EN LAS INTERSECCIONES REGULADAS POR UN AGENTE, PERSONAL DE APOYO VIAL O PROMOTORES VOLUNTARIOS, LOS CONDUCTORES DEBEN SEGUIR LAS INDICACIONES DE ÉSTOS, INDEPENDIENTEMENTE DE LAS REGLAS DE PREFERENCIA O DE LO INDICADO POR LOS DISPOSITIVOS PARA EL CONTROL DEL TRÁNSITO;",26,0
SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: REALIZAR MANIOBRAS DE ASCENSO O DESCENSO DE PERSONAS EN CARRILES CENTRALES DE LAS VÍAS DE ACCESO CONTROLADO;,26,0
"AUN CUANDO SE ENCUENTRE PRESENTE EL CONDUCTOR O ALGUNA OTRA PERSONA, LOS VEHÍCULOS MOTORIZADOS ESTACIONADOS SERÁN INMOVILIZADOS POR EL AGENTE, CUANDO LOS VEHÍCULOS SE ENCUENTREN ESTACIONADOS EN LUGARES PROHIBIDOS SEGÚN LO ESTABLECIDO EN EL ARTÍCULO 30 FRACCIONES I, IV, V, VII, VIII, IX, XIII, XIV Y XVIII DE ESTE ORDENAMIENTO, NO SE CUENTE INMEDIATAMENTE CON UNA GRÚA PARA REMITIRLOS AL DEPÓSITO DE VEHÍCULOS Y LOS AGENTES DISPONGAN DE INMOVILIZADORES",25,0
"AUN CUANDO SE ENCUENTRE PRESENTE EL CONDUCTOR O ALGUNA OTRA PERSONA, LOS VEHÍCULOS MOTORIZADOS ESTACIONADOS SERÁN INMOVILIZADOS POR EL AGENTE, CUANDO LOS VEHÍCULOS SE ENCUENTREN ESTACIONADOS EN LUGARES PROHIBIDOS SEGÚN LO ESTABLECIDO EN EL ARTÍCULO 30 FRACCIONES I, IV, V, VII, VIII, IX, XIII, XIV Y XVIII DE ESTE ORDENAMIENTO, NO SE CUENTE INMEDIATAMENTE CON UNA GRÚA PARA REMITIRLOS AL DEPÓSITO DE VEHÍCULOS Y LOS AGENTES DISPONGAN DE INMOVILIZADORES; MENOS DE 7 METROS DE LA GUARNICIÓN DE LA VIA TRASVERSAL",25,0
"EN LA VÍA PÚBLICA ESTÁ PROHIBIDO: MANTENER UN VEHÍCULO ESTACIONADO, UNA VEZ QUE SEA REQUERIDO SU RETIRO POR LA AUTORIDAD, CUANDO SE REALICE OBRA PÚBLICA O TRABAJOS DE SERVICIOS URBANOS EN LA VÍA.",25,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: ADICIONALMENTE, A LOS MOTOCICLISTAS: TRANSPORTAR UN MENOR DE EDAD, CUANDO ESTE NO PUEDA SUJETARSE POR SÍ MISMO A LA MOTOCICLETA Y, ESTANDO CORRECTAMENTE SENTADO, NO PUEDA COLOCAR ADECUADA Y FIRMEMENTE LOS PIES EN LOS ESTRIBOS O POSA PIES, EXCEPTO QUE CUENTE CON LOS ADITAMENTOS ESPECIALMENTE DISEÑADOS PARA SU SEGURIDAD.",25,0
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: CIRCULAR EN REVERSA MÁS DE TREINTA METROS, SALVO QUE NO SEA POSIBLE CIRCULAR HACIA DELANTE;",25,0
LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN CUMPLIR CON LOS REQUISITOS LEGALES ESPECIFICADOS POR CADA TIPO DE VEHÍCULO DEL QUE SE TRATE: LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE ESCOLAR O DE PASAJEROS DEBEN: CONDUCIR CON LICENCIA VIGENTE CORRESPONDIENTE AL TIPO DE VEHÍCULO;,24,0
"LOS CONDUCTORES Y OCUPANTES DE LOS VEHÍCULOS DEBEN DE CUMPLIR CON LAS DISPOSICIONES DE SEGURIDAD INDICADAS EN EL PRESENTE ARTÍCULO DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS DEBEN: COLOCAR DISPOSITIVOS DE ADVERTENCIA CUANDO POR CASO FORTUITO O DE FUERZA MAYOR SE DETENGA EN VÍAS PRIMARIAS. SI LA VÍA ES DE DOBLE SENTIDO, LOS DISPOSITIVOS DE ADVERTENCIA SE COLOCARÁN 20 METROS ATRÁS DEL VEHÍCULO Y 20 METROS ADELANTE EN EL CARRIL OPUESTO.",24,0
SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: REBASAR A OTROS VEHÍCULOS CUANDO ÉSTOS SE DETENGAN PARA CEDER EL PASO A LOS PEATONES;,24,0
"LOS CONDUCTORES Y OCUPANTES DE LOS VEHÍCULOS DEBEN DE CUMPLIR CON LAS DISPOSICIONES DE SEGURIDAD INDICADAS EN EL PRESENTE ARTÍCULO DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. ADICIONALMENTE, LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE CARGA DEBEN CIRCULAR CON LA CARGA DEBIDAMENTE ASEGURADA POR TENSADORES PARA SUJETAR CARGA, CINTAS Y/O LONAS, QUE EVITE TIRAR OBJETOS O DERRAMAR SUSTANCIAS QUE OBSTRUYAN EL TRÁNSITO O PONGAN EN RIESGO LA INTEGRIDAD FÍSICA DE LAS PERSONAS; Y",23,0
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: FRENTE A: ENTRADAS O SALIDAS DE ESTACIONAMIENTOS PÚBLICOS Y GASOLINERAS;,23,0
"LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS DEBEN: TOMAR LAS MÁXIMAS PRECAUCIONES A SU ALCANCE CUANDO EXISTAN PEATONES SOBRE EL ARROYO VEHICULAR, REDUCIR LA VELOCIDAD O PARAR PARA PERMITIR EL PASO A PEATONES, ESPECIALMENTE EN ZONAS ESCOLARES O EN CALLES DE PRIORIDAD PEATONAL",22,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: ADICIONALMENTE, A LOS MOTOCICLISTAS: TRANSPORTAR PASAJEROS MENORES DE DOCE AÑOS DE EDAD;",22,0
"SE PROHÍBE A LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS: ENTORPECER LA MARCHA DE COLUMNAS MILITARES, ESCOLARES, DESFILES CÍVICOS Y SIMILARES;",21,0
"PARA LAS PREFERENCIAS DE PASO EN LAS INTERSECCIONES, EL CONDUCTOR SE AJUSTARÁ AL SEÑALAMIENTO RESTRICTIVO Y A LAS SIGUIENTES REGLAS: EL FERROCARRIL, EL TREN LIGERO Y VEHÍCULOS DE TRANSPORTE PÚBLICO QUE CIRCULEN EN CARRILES EXCLUSIVOS CONFINADOS O EN CONTRAFLUJO TIENEN PREFERENCIA DE PASO;",20,0
"LOS CONDUCTORES DE MOTOCICLETAS DEBEN SUJETARSE A LO DISPUESTO EN EL CAPÍTULO II DE ESTE TÍTULO, EXCEPTUANDO AQUELLAS PROVISIONES QUE POR LA NATURALEZA PROPIA DE LOS VEHÍCULOS NO SEAN APLICABLES. ADICIONALMENTE LOS CONDUCTORES DE MOTOCICLETAS DEBEN: ADELANTAR OTRO VEHÍCULO SÓLO POR EL LADO IZQUIERDO; Y",18,0
"AUN CUANDO SE ENCUENTRE PRESENTE EL CONDUCTOR O ALGUNA OTRA PERSONA, LOS VEHÍCULOS MOTORIZADOS ESTACIONADOS SERÁN INMOVILIZADOS POR EL AGENTE, CUANDO LOS VEHÍCULOS SE ENCUENTREN ESTACIONADOS EN LUGARES PROHIBIDOS SEGÚN LO ESTABLECIDO EN EL ARTÍCULO 30 FRACCIONES I, IV, V, VII, VIII, IX, XIII, XIV Y XVIII DE ESTE ORDENAMIENTO, NO SE CUENTE INMEDIATAMENTE CON UNA GRÚA PARA REMITIRLOS AL DEPÓSITO DE VEHÍCULOS Y LOS AGENTES DISPONGAN DE INMOVILIZADORES; MENOS DE 6 METROS DE LA ENTREDA DE UNA ESTACION DE BOMBEROS Y DE VEHICULOS DE EMERGENCIA Y EN UN ESPACIO DE 25 METROS A CADA LADO DEL EJE DE ENTRADA EN LA CERA OPUESTA A ELLA.",17,0
"PARA LAS PREFERENCIAS DE PASO EN LAS INTERSECCIONES, EL CONDUCTOR SE AJUSTARÁ AL SEÑALAMIENTO RESTRICTIVO Y A LAS SIGUIENTES REGLAS: EN LAS INTERSECCIONES REGULADAS MEDIANTE SEMÁFOROS SE RESPETARÁN LAS SIGUIENTES REGLAS: ENTRE LAS 23:00 HORAS Y LAS 5:00 HORAS DEL DÍA SIGUIENTE, DEBE DETENER TOTALMENTE EL VEHÍCULO FRENTE A LA LUZ ROJA DEL SEMÁFORO Y, UNA VEZ QUE SE CERCIORE DE QUE NINGÚN PEATÓN O VEHÍCULO SE DISPONE A CRUZAR LA INTERSECCIÓN, PODRÁ CONTINUAR LA MARCHA, AUN CUANDO NO HAYA CAMBIADO LA SEÑAL DE ALTO.",16,0
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: EN UN TRAMO MENOR A: SIETE METROS Y MEDIO A PARTIR DE LA GUARNICIÓN DE LA VÍA TRANSVERSAL;,15,0
EN LA VÍA PÚBLICA ESTÁ PROHIBIDO: COLOCAR O INSTALAR CUALQUIER OBJETO O SEÑALIZACIÓN PARA RESERVAR ESPACIOS DE ESTACIONAMIENTO EN LA VÍA PÚBLICA SIN LA AUTORIZACIÓN CORRESPONDIENTE;,14,0
LOS VEHÍCULOS MOTORIZADOS QUE CIRCULEN EN EL TERRITORIO DEL DISTRITO FEDERAL  TRATÁNDOSE DE VEHÍCULOS CON PLACAS DE MATRÍCULA EXTRANJERA DEBEN PORTAR LOS DOCUMENTOS OFICIALES EN LOS QUE SE DESCRIBAN LAS CARACTERÍSTICAS DEL VEHÍCULO Y SE ACREDITE LA LEGAL ESTANCIA EN EL PAÍS,14,0
ESTÁ PROHIBIDO REMOLCAR O EMPUJAR OTROS VEHÍCULOS MOTORIZADOS SI NO ES POR MEDIO DE UNA GRÚA,13,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: ADICIONALMENTE, A LOS CONDUCTORES DE VEHÍCULOS DE CARGA: CIRCULAR CON CARGA QUE EXCEDA EL PESO BRUTO VEHICULAR MÁXIMO PERMITIDO ESTABLECIDO EN LAS NORMAS APLICABLES O EN EL SEÑALAMIENTO RESTRICTIVO, OBSTRUYA LA VISTA FRONTAL O LOS ESPEJOS FRONTALES LATERALES O QUE SOBRESALGA DE LA PARTE DELANTERA, POSTERIOR O DE LOS COSTADOS, SALVO CUANDO SE OBTENGA EL PERMISO CORRESPONDIENTE DE LA SECRETARÍA, DEBIENDO INDICAR CON ELEMENTOS REFLEJANTES EL PERÍMETRO DE LA CARGA.",13,0
"PARA LAS PREFERENCIAS DE PASO EN LAS INTERSECCIONES, EL CONDUCTOR SE AJUSTARÁ AL SEÑALAMIENTO RESTRICTIVO Y A LAS SIGUIENTES REGLAS: EN VÍAS EN LAS QUE EXISTA REDUCCIÓN DE CARRILES, TENDRÁ PREFERENCIA EL CONDUCTOR DEL VEHÍCULO QUE CIRCULA SOBRE EL CARRIL QUE SE CONSERVA; EN CASO DE CONGESTIÓN VIAL, TODOS LOS VEHÍCULOS DEBERÁN GUARDAR EL ORDEN DE PASO SIN ADELANTASE A OTROS VEHÍCULOS QUE LES PRECEDAN E INTERCALARSE UNO A UNO; Y",13,0
SE PROHÍBE A LOS CONDUCTORES DE VEHÍCULOS QUE TRANSPORTEN SUSTANCIAS TÓXICAS O PELIGROSAS: REALIZAR MANIOBRAS DE CARGA Y DESCARGA EN LUGARES NO DESTINADOS PARA TAL FIN.,13,0
"AL ESTACIONARSE U OCUPAR LA VÍA PÚBLICA, SE DEBERÁ HACER DE FORMA MOMENTÁNEA, PROVISIONAL O TEMPORAL, SIN QUE REPRESENTE UNA AFECTACIÓN AL DESPLAZAMIENTO DE PEATONES, Y CIRCULACIÓN DE VEHÍCULOS, O SE OBSTRUYA LA ENTRADA O SALIDA DE UNA COCHERA. EL VEHÍCULO DEBERÁ QUEDAR ORIENTADO EN EL SENTIDO DE LA CIRCULACIÓN;",12,0
"En caso de que el infractor no sea el propietario del vehículo remitido al depósito y el conductor no hubiere dentro de los treinta días posteriores a la imposición de la infracción, cumplido la sanción impuesta en su totalidad, el propietario deberá cubrir una multa de 60 veces la Unidad de Medida y Actualización Vigente, para solicitar que le sea entregada la unidad.",12,0
"LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS DEBEN: CONSERVAR RESPECTO AL VEHÍCULO QUE LE PRECEDA, UNA DISTANCIA RAZONABLE QUE GARANTICE LA DETENCIÓN OPORTUNA EN CASO DE QUE ÉSTE FRENE INTEMPESTIVAMENTE",12,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: A LOS CONDUCTORES DE VEHÍCULOS MOTORIZADOS: TRANSPORTAR PERSONAS EN LA PARTE EXTERIOR DE LA CARROCERÍA, CON EXCEPCIÓN DEL TRANSPORTE DE CARGADORES O ESTIBADORES CUANDO LA FINALIDAD DEL TRANSPORTE REQUIERA DE ELLOS Y EN NÚMERO Y EN CONDICIONES TALES QUE GARANTICEN LA INTEGRIDAD FÍSICA DE LOS MISMOS;",12,0
LOS CONDUCTORES Y OCUPANTES DE LOS VEHÍCULOS DEBEN DE CUMPLIR CON LAS DISPOSICIONES DE SEGURIDAD INDICADAS EN EL PRESENTE ARTÍCULO DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE DE SUSTANCIAS TÓXICAS O PELIGROSAS DEBEN ASEGURARSE DE QUE LA CARGA ESTÉ DEBIDAMENTE PROTEGIDA Y SEÑALIZADA DE CONFORMIDAD CON LAS NORMAS OFICIALES MEXICANAS.,12,0
"SE PROHÍBE A LOS CONDUCTORES DE VEHÍCULOS QUE TRANSPORTEN SUSTANCIAS TÓXICAS O PELIGROSAS: ESTACIONAR LOS VEHÍCULOS EN LA VÍA PÚBLICA O EN LA PROXIMIDAD DE FUENTE DE RIESGO, INDEPENDIENTEMENTE DE LA OBSERVANCIA DE LAS CONDICIONES Y RESTRICCIONES IMPUESTAS POR LAS AUTORIDADES FEDERALES EN MATERIA AMBIENTAL Y DE TRANSPORTE; Y",12,0
"EN LA VÍA PÚBLICA ESTÁ PROHIBIDO: QUE LOS PARTICULARES INSTALEN DISPOSITIVOS PARA EL CONTROL DEL TRÁNSITO QUE OBSTACULICEN O AFECTEN LA VÍA, A MENOS QUE SE CUENTE CON LA AUTORIZACIÓN DEBIDA O SE TRATE DE MECANISMOS O ARTEFACTOS COLOCADOS MOMENTÁNEAMENTE PARA FACILITAR EL ASCENSO O DESCENSO DE LAS PERSONAS CON DISCAPACIDAD O SEÑALAMIENTOS DE ADVERTENCIA DE HECHOS DE TRÁNSITO O EMERGENCIAS;",11,0
"LOS VEHÍCULOS MOTORIZADOS QUE CIRCULEN EN EL TERRITORIO DEL DISTRITO FEDERAL DEBEN DE CONTAR CON: PLACAS DE MATRÍCULA FRONTAL Y POSTERIOR, O PERMISO PROVISIONAL VIGENTES CORRESPONDIENTE AL TIPO DE VEHÍCULO, O EN SU DEFECTO, LA COPIA CERTIFICADA DE LA DENUNCIA DE LA PÉRDIDA DE LAS PLACAS DE MATRÍCULA ANTE EL AGENTE DEL MINISTERIO PÚBLICO O LA CONSTANCIA DE HECHOS ANTE EL JUEZ CÍVICO, LA CUAL NO DEBERÁ EXCEDER DEL TÉRMINO DE 10 DÍAS HÁBILES A PARTIR DE LA FECHA DE SU EXPEDICIÓN; MISMOS QUE DEBERÁN: TENER LA DIMENSIÓN Y CARACTERÍSTICAS QUE ESPECIFIQUE LA NORMA OFICIAL MEXICANA RESPECTIVA; Y",11,0
"PARA LAS PREFERENCIAS DE PASO EN LAS INTERSECCIONES, EL CONDUCTOR SE AJUSTARÁ AL SEÑALAMIENTO RESTRICTIVO Y A LAS SIGUIENTES REGLAS: EN LAS INTERSECCIONES REGULADAS MEDIANTE SEMÁFOROS SE RESPETARÁN LAS SIGUIENTES REGLAS: CUANDO LOS SEMÁFOROS SE ENCUENTREN CON LUCES INTERMITENTES SE CRUZARÁ CON PRECAUCIÓN DISMINUYENDO LA VELOCIDAD; TIENE PREFERENCIA DE PASO EL CONDUCTOR QUE TRANSITE POR LA VÍA CUYO SEMÁFORO ESTÉ DESTELLANDO EN COLOR ÁMBAR, SOBRE EL CONDUCTOR QUE TRANSITE EN UNA VÍA CUYO SEMÁFORO ESTÉ DESTELLANDO EN COLOR ROJO, QUIEN DEBERÁ HACER ALTO TOTAL Y DESPUÉS CRUZAR CON PRECAUCIÓN; Y",11,0
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: FRENTE A: ENTRADAS Y SALIDAS DE VEHÍCULOS DE EMERGENCIA;,11,0
"SE PROHÍBE UTILIZAR O INSTALAR EN VEHÍCULOS: LOS VEHÍCULOS DE USO PARTICULAR NO PODRÁN CONTAR CON CROMÁTICAS IGUALES O SIMILARES A LAS DEL TRANSPORTE PÚBLICO DE PASAJEROS MATRICULADOS EN EL DISTRITO FEDERAL, VEHÍCULOS DE EMERGENCIA Y DE LOS DESTINADOS A LA SECRETARÍA DE DEFENSA NACIONAL O DE LA SECRETARÍA DE MARINA.",11,0
SE PROHÍBE ESTACIONAR CUALQUIER VEHÍCULO: FRENTE A: EN ENTRADAS Y SALIDAS PEATONALES DE INSTALACIONES DE HOSPITALES O CENTROS DE SALUD.,10,0
LOS CONDUCTORES DE VEHÍCULOS DE TRANSPORTE ESCOLAR O DE PERSONAL DEBEN: CIRCULAR CON LAS LUCES INTERIORES ENCENDIDAS EN HORARIO NOCTURNO; Y,9,0
"LOS VEHÍCULOS MOTORIZADOS QUE CIRCULEN EN EL TERRITORIO DEL DISTRITO FEDERAL DEBEN DE CONTAR CON: PLACAS DE MATRÍCULA FRONTAL Y POSTERIOR, O PERMISO PROVISIONAL VIGENTES CORRESPONDIENTE AL TIPO DE VEHÍCULO, O EN SU DEFECTO, LA COPIA CERTIFICADA DE LA DENUNCIA DE LA PÉRDIDA DE LAS PLACAS DE MATRÍCULA ANTE EL AGENTE DEL MINISTERIO PÚBLICO O LA CONSTANCIA DE HECHOS ANTE EL JUEZ CÍVICO, LA CUAL NO DEBERÁ EXCEDER DEL TÉRMINO DE 10 DÍAS HÁBILES A PARTIR DE LA FECHA DE SU EXPEDICIÓN; MISMOS QUE DEBERÁN: COINCIDIR CON LA CALCOMANÍA PERMANENTE DE CIRCULACIÓN, CON LA TARJETA DE CIRCULACIÓN Y CON LOS REGISTROS DEL CONTROL VEHICULAR;",9,0
SE PROHÍBE INSTALAR O UTILIZAR EN VEHÍCULOS MOTORIZADOS: SISTEMAS ANTIRRADARES O DETECTOR DE RADARES DE VELOCIDAD;,9,0
"ADEMÁS DE LAS OBLIGACIONES CONTENIDAS EN LOS ARTÍCULOS QUE ANTECEDEN, LOS CONDUCTORES DE VEHÍCULOS QUE TRANSPORTEN SUSTANCIAS TÓXICAS O PELIGROSAS DEBEN: ABSTENERSE DE REALIZAR PARADAS QUE NO ESTÉN SEÑALADAS EN LA OPERACIÓN DEL SERVICIO;",8,0
"LOS CONDUCTORES DE MOTOCICLETAS DEBEN SUJETARSE A LO DISPUESTO EN EL CAPÍTULO II DE ESTE TÍTULO, EXCEPTUANDO AQUELLAS PROVISIONES QUE POR LA NATURALEZA PROPIA DE LOS VEHÍCULOS NO SEAN APLICABLES. ADICIONALMENTE LOS CONDUCTORES DE MOTOCICLETAS DEBEN: RESPETAR LAS REGLAS DE PREFERENCIA DE PASO ESTIPULADAS EN EL ARTÍCULO 10.",8,0
"LOS CONDUCTORES DE TODO TIPO DE VEHÍCULOS DEBEN: ASCENDER O DESCENDER DEL VEHÍCULO SOBRE EL CARRIL CONTIGUO A LA ACERA. EN CASO DE QUE TENGA QUE HACERLO DEL LADO CONTIGUO AL CARRIL INMEDATO, EXTREMARÁ PRECAUCIONES AL ABRIR O CERRAR LAS PORTEZUELAS, SIN SOBREPASAR LAS RAYAS DE DIVISIÓN DE CARRIL DE MANERA QUE NO HAGA UN CORTE DE CIRCULACIÓN.",8,0
"LOS CONDUCTORES DE VEHÍCULOS DEBEN CERCIORARSE DE QUE SU VEHÍCULO ESTÉ PROVISTO DE LOS SIGUIENTES ELEMENTOS, DE ACUERDO A LA NATURALEZA PROPIA DE CADA VEHÍCULO. CONDUCTORES DE TODO VEHÍCULO MOTORIZADO: DOS ESPEJOS RETROVISORES LATERALES Y UNO INTERIOR LOS VEHÍCULOS DE TRANSPORTE DE CARGA Y DE PASAJEROS CUYA CARROCERÍA IMPIDA LA VISIÓN CENTRAL SÓLO TENDRÁN LOS ESPEJOS LATERALES;",8,0
"LOS CONDUCTORES DE VEHÍCULOS SON RESPONSABLES DE EVITAR REALIZAR ACCIONES QUE PONGAN EN RIESGO SU INTEGRIDAD FÍSICA Y LA DE LOS DEMÁS USUARIOS DE LA VÍA, POR LO QUE SE PROHÍBE: ADICIONALMENTE, A LOS MOTOCICLISTAS: TRANSPORTAR CARGA QUE IMPIDA MANTENER AMBAS MANOS SOBRE EL MANUBRIO, Y UN DEBIDO CONTROL DEL VEHÍCULO;",8,0
